                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6043,                 3.4691,                 1.7508,                0.82749,                0.79217,                0.85092,                0.53252,                  1.254,                 1.2207,                  1.575,             0.00011443,             0.00011443,             0.00011443
                      2,                  1.301,                  1.495,                 1.4125,                0.85026,                0.87679,                0.91496,                0.60088,                 1.2023,                0.91849,                  1.493,             0.00022716,             0.00022716,             0.00022716
                      3,                 1.2708,                 1.3242,                 1.3925,                0.82745,                0.86419,                0.89841,                0.57871,                 1.2352,                0.92832,                 1.5028,             0.00033761,             0.00033761,             0.00033761
                      4,                 1.2771,                 1.2013,                 1.3852,                0.86719,                0.87654,                0.94294,                 0.6305,                 1.1924,                0.81589,                 1.4641,             0.00033475,             0.00033475,             0.00033475
                      5,                 1.2431,                 1.0829,                 1.3674,                0.92944,                0.91354,                0.95562,                0.62629,                 1.2131,                0.74026,                 1.4756,             0.00033134,             0.00033134,             0.00033134
                      6,                 1.2308,                 1.0413,                 1.3578,                0.93022,                 0.9159,                0.95642,                0.65617,                 1.1333,                0.67335,                 1.4043,             0.00032792,             0.00032792,             0.00032792
                      7,                 1.2315,                0.99253,                 1.3556,                0.93374,                0.93492,                 0.9644,                0.65516,                 1.1379,                0.64738,                 1.4115,             0.00032451,             0.00032451,             0.00032451
                      8,                 1.1948,                0.94006,                  1.328,                 0.9299,                0.94473,                0.96726,                0.66195,                 1.1245,                0.62493,                 1.3942,             0.00032109,             0.00032109,             0.00032109
                      9,                 1.1991,                0.92002,                 1.3306,                0.93298,                0.92824,                0.96079,                0.64698,                 1.1841,                0.64616,                 1.4311,             0.00031768,             0.00031768,             0.00031768
                     10,                 1.1738,                0.88717,                  1.313,                0.94663,                0.94785,                0.96978,                 0.6652,                 1.1555,                0.59034,                  1.396,             0.00031426,             0.00031426,             0.00031426
                     11,                  1.154,                0.86199,                 1.3049,                0.94406,                0.94847,                0.97058,                 0.6749,                 1.1041,                 0.5774,                 1.3752,             0.00031084,             0.00031084,             0.00031084
                     12,                 1.1517,                0.84476,                 1.2986,                0.94775,                0.94202,                0.96912,                0.67491,                 1.1226,                0.59103,                  1.386,             0.00030743,             0.00030743,             0.00030743
                     13,                 1.1506,                0.82075,                 1.2999,                0.94271,                0.94838,                 0.9676,                0.66472,                 1.1314,                0.61035,                 1.4027,             0.00030401,             0.00030401,             0.00030401
                     14,                 1.1442,                0.81634,                 1.2906,                0.95346,                 0.9674,                0.97748,                0.69091,                 1.0772,                0.52144,                  1.341,              0.0003006,              0.0003006,              0.0003006
                     15,                 1.1276,                0.78086,                 1.2879,                 0.9334,                0.96117,                0.97671,                0.67993,                 1.1083,                0.55106,                 1.3714,             0.00029718,             0.00029718,             0.00029718
                     16,                 1.1246,                0.77796,                 1.2728,                0.96189,                0.96646,                 0.9802,                0.67898,                 1.1078,                0.51108,                 1.3573,             0.00029377,             0.00029377,             0.00029377
                     17,                  1.116,                0.77075,                 1.2784,                0.95934,                0.96322,                0.97791,                0.68337,                 1.1053,                0.52847,                 1.3747,             0.00029035,             0.00029035,             0.00029035
